CustomerID,Recency,Frequency,Monetary
17884.0,3,20,3020.99
16561.0,5,2,511.12
13973.0,287,1,264.7
17633.0,31,7,2057.39
12467.0,423,1,132.8
13094.0,21,13,2433.12
14285.0,21,8,3284.42
16331.0,432,6,2037.7
15067.0,78,5,3862.88
16212.0,19,4,1293.71
13937.0,169,2,880.13
13649.0,256,6,1651.48
15160.0,357,4,589.27
16656.0,22,30,16833.17
15145.0,4,4,1194.73
18277.0,58,5,1180.05
13930.0,57,2,337.34
17032.0,547,8,2984.32
17825.0,598,4,701.96
15311.0,0,208,116575.49
15898.0,1,25,5513.09
15750.0,2,18,6793.51
17659.0,17,14,3834.79
16353.0,3,38,9999.46
14064.0,29,15,3260.24
16600.0,4,13,2153.41
14123.0,733,1,436.18
14211.0,53,18,4402.29
14233.0,49,7,2904.27
17062.0,313,6,1179.14
13592.0,35,4,247.96
15372.0,137,8,6017.06
13215.0,402,1,81.6
14959.0,64,4,695.42
18210.0,1,7,2768.83
16208.0,44,10,3440.45
13458.0,7,16,11959.27
12394.0,63,2,1272.48
17675.0,1,70,38259.6
15398.0,16,2,1345.53
12600.0,28,21,5043.92
13212.0,19,3,786.83
13929.0,169,11,3494.1
16539.0,2,10,3732.01
16222.0,318,2,1272.05
13871.0,22,17,7885.85
15953.0,15,18,3648.08
17400.0,126,8,4623.28
14478.0,382,4,1276.66
17138.0,275,7,4417.27
15950.0,31,10,7120.91
12775.0,17,7,1686.12
12667.0,58,1,620.13
17863.0,59,12,5745.2
15017.0,33,1,125.58
14565.0,95,5,3859.22
16993.0,463,2,1950.95
15428.0,15,4,762.75
13435.0,5,9,4447.33
15996.0,88,7,1649.65
18251.0,87,9,26278.86
12517.0,28,5,2481.6
12481.0,22,15,12344.89
13719.0,15,11,2783.08
13505.0,72,4,4393.63
17811.0,4,47,9519.8
15498.0,2,44,25949.58
13577.0,25,11,3489.28
12585.0,234,2,2040.1
17465.0,425,7,2542.79
16818.0,10,11,3349.57
13414.0,133,6,2494.14
15622.0,43,17,7852.61
16746.0,4,42,18046.75
15981.0,24,21,9362.77
13154.0,399,3,1624.84
16199.0,392,7,942.75
12383.0,184,5,1850.56
12424.0,162,4,3340.03
17562.0,14,7,1122.38
17523.0,11,4,652.74
13770.0,422,4,785.37
13444.0,374,2,619.08
16271.0,2,10,3397.82
17193.0,35,9,2310.04
16945.0,21,33,8548.16
15253.0,16,8,2055.09
16150.0,42,10,4395.59
17649.0,138,3,1578.89
14690.0,44,4,777.68
16193.0,236,2,630.43
12616.0,95,3,1131.1
16508.0,630,1,240.95
16948.0,138,7,868.77
16568.0,427,2,1020.9
15521.0,40,16,7098.24
17262.0,52,11,2757.62
17805.0,73,2,927.03
13259.0,61,9,1402.54
13648.0,400,8,1764.02
12471.0,2,79,39918.19
12639.0,238,3,1312.37
16330.0,17,7,625.38
17203.0,35,10,5564.09
17132.0,452,2,1220.91
15141.0,457,7,1388.47
17874.0,185,6,683.46
16985.0,17,23,10923.16
18077.0,8,18,4283.66
12389.0,402,3,1433.33
15584.0,23,6,1268.2
