StockCode,Description,Revenue
22423,REGENCY CAKESTAND 3 TIER,285992.35
85123A,WHITE HANGING HEART T-LIGHT HOLDER,251731.26
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
M,Manual,151951.92
85099B,JUMBO BAG RED RETROSPOT,136684.79
84879,ASSORTED COLOUR BIRD ORNAMENT,126704.06
POST,POSTAGE,126563.04
47566,PARTY BUNTING,103802.53
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,79455.68
79321,CHILLI LIGHTS,72527.79
21137,BLACK RECORD COVER FRAME,67175.69
85099F,JUMBO BAG STRAWBERRY,64495.57
82484,WOOD BLACK BOARD ANT WHITE FINISH,60449.79
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,57710.32
15056N,EDWARDIAN PARASOL NATURAL,54717.66
21621,VINTAGE UNION JACK BUNTING,54696.12
85099C,JUMBO  BAG BAROQUE BLACK WHITE,52979.58
22189,CREAM HEART CARD HOLDER,52575.94
22470,HEART OF WICKER LARGE,52030.83
21623,VINTAGE UNION JACK MEMOBOARD,51425.82
23084,RABBIT NIGHT LIGHT,51251.24
21733,RED HANGING HEART T-LIGHT HOLDER,49895.8
21931,JUMBO STORAGE BAG SUKI,48228.24
22112,CHOCOLATE HOT WATER BOTTLE,47437.04
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,47189.87
15056BL,EDWARDIAN PARASOL BLACK,46402.52
22178,VICTORIAN GLASS HANGING T-LIGHT,46216.01
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,45658.53
22469,HEART OF WICKER SMALL,44983.0
21181,PLEASE ONE PERSON METAL SIGN,44852.4
21843,RED RETROSPOT CAKE STAND,44292.99
22111,SCOTTIE DOG HOT WATER BOTTLE,44112.6
22386,JUMBO BAG PINK POLKADOT,43926.06
21929,JUMBO BAG PINK VINTAGE PAISLEY,43850.6
21754,HOME BUILDING BLOCK WORD,43532.81
22138,BAKING SET 9 PIECE RETROSPOT ,43070.91
21731,RED TOADSTOOL LED NIGHT LIGHT,42882.36
21915,RED  HARMONICA IN BOX ,41810.9
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41532.09
21175,GIN + TONIC DIET METAL SIGN,41264.18
22457,NATURAL SLATE HEART CHALKBOARD ,40956.12
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,40780.32
82494L,WOODEN FRAME ANTIQUE WHITE ,40741.02
48138,DOORMAT UNION FLAG,40629.87
21232,STRAWBERRY CERAMIC TRINKET BOX,40577.88
20727,LUNCH BAG  BLACK SKULL.,40450.9
22502,PICNIC BASKET WICKER 60 PIECES,39619.5
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,37866.54
82482,WOODEN PICTURE FRAME WHITE FINISH,37529.05
21166,COOK WITH WINE METAL SIGN ,37255.54
20728,LUNCH BAG CARS BLUE,36982.33
22629,SPACEBOY LUNCH BOX ,36803.79
84078A,SET/4 WHITE RETRO STORAGE CUBES ,36259.65
22114,HOT WATER BOTTLE TEA AND SYMPATHY,36113.87
23284,DOORMAT KEEP CALM AND COME IN,35880.85
48194,DOORMAT HEARTS,35784.3
20713,JUMBO BAG OWLS,35765.42
85066,CREAM SWEETHEART MINI CHEST,35634.48
